工站(w),时间(s),颈部角度(°),肩部前屈角度(°),肩部外展角度(°)
1,1,-16.52,65.91,43.92
1,2,28.69,35.32,80.92
1,3,-9.95,112.32,44.9
1,4,4.7,126.57,81.4
1,5,21.99,18.35,70.74
1,6,-21.6,68.21,57.12
1,7,-5.84,82.75,99.67
1,8,-21.89,104.56,42.62
1,9,-22.02,32.22,95.18
1,10,22.78,136.99,99.2
1,11,-17.5,59.76,68.58
1,12,-0.97,68.57,38.99
1,13,5.63,90.58,20.34
1,14,-1.7,87.49,59.18
1,15,-17.39,113.92,7.39
1,16,-8.71,119.23,58.57
1,17,-14.33,107.29,58.9
1,18,17.77,112.9,62.96
1,19,-0.71,28.65,29.83
1,20,-4.85,93.9,53.8
1,21,-12.71,10.91,52.14
1,22,-12.86,112.85,7.27
1,23,5.09,141.81,21.57
1,24,-1.7,22.8,64.44
1,25,3.03,67.03,54.53
1,26,23.79,37.48,7.14
1,27,21.7,90.8,89.61
1,28,5.82,123.42,45.82
1,29,14.99,137.83,59.35
1,30,-19.15,47.63,23.87
1,31,-15.19,52.9,57.74
1,32,5.28,69.71,63.46
1,33,-25.11,22.29,21.32
1,34,1.08,39.96,31.91
1,35,-5.98,123.66,6.32
1,36,8.96,103.64,80.87
1,37,25.97,12.82,19.61
1,38,23.17,74.19,58.64
1,39,9.78,105.07,93.52
1,40,29.82,110.82,32.29
1,41,22.79,16.89,26.95
1,42,23.84,45.87,25.96
1,43,-21.71,130.28,52.51
1,44,10.49,43.47,77.01
1,45,15.6,53.76,44.01
1,46,-17.42,146.72,66.33
1,47,26.07,52.47,79.28
1,48,15.95,106.83,96.74
1,49,-6.39,28.3,68.81
1,50,13.76,90.51,24.65
1,51,0.27,53.71,45.61
1,52,8.71,114.33,27.06
1,53,-5.68,47.68,23.87
1,54,17,137.3,40.17
1,55,15.08,135.58,85.38
1,56,-19.03,143.88,40.78
1,57,-9.65,18.74,51.19
1,58,-23.46,44.8,35.11
1,59,18.53,132.57,33.73
1,60,21.52,130.01,77.64
1,61,-21.2,106.65,94.78
1,62,10.95,56.43,52.56
1,63,8.74,81.48,16.4
1,64,-11.28,122.34,86.83
1,65,-21.76,143.33,36.24
1,66,9.74,115.26,82.13
1,67,26.74,53.81,86.56
1,68,-22.1,108.71,75.49
1,69,10.66,45.32,87.94
1,70,-19.87,17.51,73.16
1,71,-1.47,128.87,41.42
1,72,-19.9,127.1,57.15
1,73,-18.65,110.85,53.56
1,74,6.26,74.53,83.73
1,75,19.77,109.31,15.01
1,76,20.33,103.94,71.22
1,77,-8.22,133.1,73.91
1,78,-23.24,67.09,89.21
1,79,-27.17,144.6,69.52
1,80,7.88,47.88,28.64
1,81,26.52,51.76,78.67
1,82,-6.41,29.5,6.02
1,83,2.66,146.61,40.07
1,84,-8.57,58.17,54.45
1,85,-3.56,133.19,53.02
1,86,0.47,29.37,98.36
1,87,-15,20.27,68
1,88,5.72,68.12,45.11
1,89,17.1,37.4,82.92
1,90,8.92,68.66,48.51
1,91,-14.6,115.3,53.72
1,92,-10.75,93.45,99.59
1,93,-3.88,138.9,37.78
1,94,-26.72,38.59,44.78
2,1,-29.99,138.1,85.17
2,2,14.54,33.49,16.43
2,3,-25.94,111.36,93.24
2,4,-4.17,26.68,53.68
2,5,-9.07,62.48,64.03
2,6,13.12,25.48,8.38
2,7,29.66,42.58,10.11
2,8,-18.61,15.45,42.22
2,9,18.14,57.77,47.2
2,10,10.54,81.25,86.84
2,11,21.96,11.39,78.91
2,12,-2.36,148.44,50.91
2,13,29.21,115.64,28.62
2,14,2.3,148.9,86.47
2,15,-24.16,108.89,37.83
2,16,-29.58,66.49,27.3
2,17,19.13,57.23,83.61
2,18,-29.96,53.09,27.91
2,19,-15.99,19.55,22.78
2,20,3.33,50.79,44.65
2,21,-7.39,132.63,91
2,22,-0.42,56.22,15.15
2,23,27.2,18.43,33.28
2,24,-12.12,54.86,20.61
2,25,16.99,27.15,65.32
2,26,-22.57,19.87,91.4
2,27,-18.59,124.98,56.74
2,28,-25.33,143.76,28.46
2,29,21.58,33.63,86.12
2,30,-29.21,81.65,78.1
2,31,26.09,137.29,82.86
2,32,23.29,37.89,32
2,33,-12.66,62.79,42.37
2,34,2.67,32.38,70.67
2,35,-19.95,53.44,52.82
2,36,17.79,113.53,66.33
2,37,-20.65,86.59,13.31
2,38,-7.36,67.89,8.78
2,39,-13.56,143.79,95.6
2,40,-8.86,16.03,22.01
2,41,-6.47,142.69,18.41
2,42,15.81,25.22,98.22
2,43,-7.1,118.53,37.55
2,44,7.66,36.88,18.87
2,45,26.28,138.47,89.31
2,46,7.53,123.16,11.56
2,47,-9.91,53.92,65.39
2,48,-8.64,30.79,61.66
2,49,18.86,63.5,17.57
2,50,-18.2,43.25,33.49
2,51,8.57,94.13,71.13
2,52,-8.25,125.36,24.39
2,53,-1.86,122.13,22.12
2,54,-23.41,133.72,37.58
2,55,11.03,13.55,70.55
2,56,-11.03,17.8,62.93
2,57,-15.55,64.15,12.66
2,58,-21.17,51.72,13.53
2,59,24.65,10.85,50.97
2,60,-22.61,53.08,92.98
2,61,-20.3,145.22,24.55
2,62,14.49,86.53,89.03
2,63,3.24,84.84,23.57
2,64,-20.03,138.31,36.14
2,65,-7.68,116.38,37.19
2,66,27.12,113.31,61.76
2,67,22.85,16.94,29.42
2,68,-2.1,41.78,75.67
2,69,25.15,69.33,37.5
2,70,27.69,72.28,51.46
2,71,-8.9,137.34,59.05
